GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
-2.28E-07,9.6846893683,-33.1656721717,8
-3.47E-07,10.0445203109,-33.4477547952,8
-1.60E-07,10.1129171358,-33.4509515133,8
-6.34E-09,9.7658168756,-33.3493695912,8
2.07E-07,9.6941813765,-32.6293697999,8
-2.14E-07,9.4774901511,-32.9004183376,8
1.60E-07,9.9482117223,-33.5398044575,8
-4.99E-07,9.7915097747,-33.1814990458,8
-2.67E-07,10.0405342804,-33.2773759535,8
4.92E-07,10.230672672,-33.269387969,8
-5.34E-07,9.903889048,-33.180927461,8
4.21E-07,10.1368623797,-33.5416897893,8
4.31E-07,10.4504271198,-33.0941147916,8
-2.81E-07,10.7080867533,-33.3705193384,8
-3.18E-07,10.2855324417,-33.1825193799,8
-4.51E-07,9.8883244955,-33.1725397306,8
-1.72E-07,9.8031446991,-32.6352878557,8
-1.98E-07,9.5673814105,-33.1723145826,8
4.46E-07,9.4229161826,-33.2584771655,8
-7.83E-07,9.8195849685,-33.3435918495,8
-3.05E-07,10.1373215699,-33.5321259655,8
7.23E-07,10.0812130698,-32.9923165154,8
3.74E-07,9.8405085703,-33.0852881643,8
7.27E-07,10.4505367869,-33.0850137757,8
5.75E-08,10.2942046122,-33.2629931619,8
3.86E-07,9.747519197,-32.3588156401,8
-6.34E-08,9.4755930026,-33.2628915908,8
3.81E-07,9.7357393019,-33.0860740049,8
4.69E-07,10.0678569706,-32.7207836215,8
-1.61E-07,9.9434895162,-33.3502700054,8
9.75E-08,10.2015911393,-33.1803061204,8
2.83E-07,9.5020394621,-32.980539963,8
-2.11E-07,11.6662618159,-31.2116957528,9
4.73E-07,12.0466917196,-30.9210357165,9
-3.43E-07,12.334313428,-30.7432203807,9
-5.77E-07,11.8851781195,-30.6482946949,9
4.96E-07,12.3467826815,-30.6507338588,9
1.46E-07,12.4281841965,-30.8353870097,9
-4.73E-07,12.5454685423,-30.8353436488,9
-1.24E-07,11.7083639269,-31.3730728933,9
-4.36E-07,11.4894666704,-31.1923775682,9
-2.85E-07,11.2318293536,-30.9134838051,9
6.46E-07,11.782094697,-31.1053769872,9
6.53E-07,11.6849379629,-31.1029003358,9
-3.27E-07,11.8692561915,-31.3757370553,9
-2.26E-08,12.1727859559,-30.4702424114,9
-1.31E-07,12.2337279496,-30.46646445,9
5.19E-07,12.6861681552,-30.2023543221,9
-6.47E-07,12.2660198484,-30.8384680819,9
1.86E-07,11.7680418599,-30.7390679676,9
-4.71E-07,11.7763760369,-30.5524156234,9
-3.78E-07,11.6033748314,-30.7327003043,9
1.26E-07,12.0411272725,-30.3785820804,9
-2.95E-07,12.4043709017,-30.6555183364,9
3.25E-07,12.3651490793,-30.6580550173,9
-1.45E-07,12.2824178958,-30.6552352427,9
9.41E-08,11.8867892119,-30.7410040069,9
1.07E-07,11.4249874473,-30.645646342,9
3.10E-07,11.7777720984,-31.2853626284,9
-1.75E-07,11.8683247225,-31.0120775144,9
6.07E-07,12.024606115,-30.6531865227,9
-2.99E-09,12.0302205226,-30.7435887486,9
1.68E-07,12.2218089655,-30.3808633044,9
-2.37E-07,12.3174489899,-30.288428172,9
4.66E-07,12.0477410912,-30.1969939443,9
5.46E-07,11.9712570807,-30.5622855561,9
6.91E-07,12.4222450116,-30.5697572485,9
-5.45E-07,12.3279169443,-30.8392651408,9
-4.43E-08,11.885450229,-31.1937321202,9
3.69E-07,11.9694416051,-31.4676277644,9
-1.02E-07,12.2261500879,-30.8352663983,9
5.51E-07,11.9820259361,-30.7392457918,9
-5.20E-07,10.7430953598,-26.7086930322,10
1.53E-07,10.557551833,-25.8002379976,10
3.05E-07,9.7469324728,-25.7968769029,10
5.87E-07,10.1121508828,-26.7056037252,10
2.82E-07,9.7712527924,-26.2374668091,10
5.11E-07,9.8440613494,-26.2392971948,10
-2.71E-07,10.4927034225,-26.4321317155,10
-5.93E-07,10.2007504693,-26.5227460311,10
8.89E-09,9.6927462564,-26.1529968009,10
-2.55E-07,9.568761352,-26.1563978987,10
5.73E-07,9.7485499352,-25.7946106722,10
5.48E-07,9.8638805204,-26.5186339522,10
3.51E-07,10.0981771569,-26.2449781037,10
-4.55E-07,10.3007719729,-26.9768808927,10
1.12E-07,9.9425466875,-26.7014977479,10
1.52E-07,9.5868223619,-26.0631148079,10
2.78E-07,9.6893195231,-25.8824234221,10
-3.33E-07,9.7234944444,-26.2420495539,10
2.66E-07,9.8010659582,-26.0618154659,10
