GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
4.34E-07,10.6340149522,-26.2181126216,10
5.29E-07,10.5688359251,-26.1181080287,10
-4.73E-07,10.4367071227,-26.2119797397,10
2.28E-07,10.2872206683,-26.2134549167,10
5.01E-07,13.70943484,-26.7225618437,11
-3.37E-07,12.9188316104,-26.1718578768,11
-3.78E-07,13.2050407983,-26.4433975468,11
-3.45E-07,13.2664672619,-26.9940650551,11
-8.56E-07,13.5305939226,-26.7223976008,11
-6.15E-07,13.6867278696,-26.7284459826,11
6.32E-07,13.4365984234,-26.8129752903,11
1.51E-07,13.4307710988,-25.72656251,11
8.85E-07,13.5582480681,-25.628086616,11
5.10E-07,13.7804262129,-25.8203650269,11
1.90E-07,14.2924091437,-26.4655999641,11
-7.91E-07,13.3370566665,-26.6331411189,11
-8.95E-08,12.9904070161,-26.6287910602,11
-5.97E-07,13.4317819345,-26.632292185,11
4.03E-07,13.5808955054,-26.7328372458,11
-2.50E-07,13.5961689934,-26.5464198083,11
-7.51E-07,13.8676196992,-26.7291564336,11
-9.79E-07,14.0624393049,-26.8157367882,11
6.78E-07,13.7867782088,-26.1818811428,11
5.73E-08,13.6192155527,-26.5419639477,11
-2.45E-07,13.6062682878,-26.6347572964,11
7.54E-07,13.4272061626,-26.5424604903,11
-4.18E-07,13.2518458364,-26.0881245897,11
6.50E-07,13.4744441443,-26.6238817751,11
3.36E-08,12.6285673884,-26.9905001507,11
1.01E-08,13.521040262,-26.7229614985,11
1.82E-07,13.9320071143,-26.6255352569,11
1.47E-07,13.5814597855,-26.3506947402,11
-3.06E-07,13.3318113487,-26.9977819343,11
1.20E-07,13.6124044817,-26.6338001332,11
-4.28E-08,13.3359338071,-26.1814387896,11
-2.29E-07,13.1581319921,-26.4519514159,11
6.42E-07,13.0845716031,-26.3571652215,11
-8.63E-07,13.608199809,-26.2739797888,11
-1.10E-08,13.3155545817,-25.9015584751,11
-3.29E-08,13.4144489502,-26.0775362181,11
3.81E-07,13.5344784311,-26.3585536508,11
8.03E-07,13.0277809959,-26.6203429959,11
-6.08E-07,13.1886515396,-26.0834819194,11
-8.29E-07,12.8270596193,-26.6253312009,11
4.13E-07,10.9182707317,-28.5789631942,12
-5.22E-07,10.3737112379,-28.2981551107,12
-2.75E-07,10.8955191068,-28.5772284237,12
-3.64E-07,11.1809774186,-28.6725388598,12
-4.52E-07,11.3471964265,-28.4017290912,12
4.35E-08,10.9741680663,-28.4869007647,12
-4.57E-07,10.6375029179,-28.5723879559,12
4.55E-07,11.2450176835,-28.7627564346,12
3.44E-07,11.292909789,-28.6753307553,12
2.39E-07,11.0027707879,-28.3950162177,12
3.41E-07,11.1393516069,-28.4800061188,12
3.44E-07,11.0695645826,-28.5799495069,12
1.33E-07,10.9927822707,-28.9467133407,12
-4.55E-07,11.0151157451,-28.9496715976,12
-1.31E-08,11.0915672154,-28.2147195787,12
-4.92E-07,11.1527029956,-28.0266059994,12
-6.56E-08,11.340466633,-27.6710588028,12
3.28E-07,11.759964884,-28.4892586867,12
-4.35E-07,10.9080092662,-29.215705311,12
-5.21E-07,10.7492350374,-28.5803062945,12
-4.57E-07,10.6445401201,-28.3033999909,12
2.45E-07,11.2681203104,-29.0529902347,12
-1.50E-07,11.1747852217,-29.144686586,12
-3.72E-07,10.7224065596,-28.408538815,12
1.01E-07,10.2575095959,-28.4905511716,12
3.53E-07,10.3777291582,-28.8443655392,12
5.47E-07,10.4411760226,-28.3878248261,12
-4.74E-07,10.6223831139,-28.3879135554,12
-6.49E-07,10.7067029995,-27.9296974609,12
-5.71E-07,10.5203890938,-28.3802142993,12
-4.77E-07,10.3283428575,-28.3941548774,12
-7.90E-09,10.7375030314,-28.4102030012,12
-4.03E-07,10.8687898856,-28.4070858057,12
-5.52E-07,10.8839640873,-28.757515715,12
-2.60E-07,10.8770006712,-28.8626177576,12
1.77E-07,10.9969878164,-28.5777778829,12
-3.28E-07,10.6344982336,-28.3021716599,12
-2.97E-07,10.9805611114,-28.6651775822,12
2.34E-08,11.242510599,-28.6684073143,12
-6.45E-07,10.9102565455,-28.6671615555,12
-2.69E-07,10.5460645019,-26.2106212966,13
-1.49E-08,10.5624505556,-26.4820653851,13
1.73E-07,10.6738117478,-27.3986322637,13
6.28E-07,10.6901944094,-27.2274864947,13
-8.43E-08,11.1936128344,-27.1341985273,13
6.00E-07,11.4064345653,-26.768190777,13
-1.04E-07,11.2718985453,-26.7583288593,13
-1.95E-07,10.8579851366,-27.1207587552,13
8.24E-07,10.5389271618,-27.2140893896,13
-5.34E-08,11.0500113872,-27.2185864485,13
-4.14E-07,11.6282801515,-26.3190484785,13
-4.74E-07,11.2752064018,-26.8590182767,13
3.96E-07,10.7297365789,-27.03559986,13
8.65E-08,10.8786181717,-26.8537009919,13
4.25E-07,11.5913035592,-26.9529226912,13
-9.25E-08,11.4036453733,-26.6852814209,13
-3.66E-07,11.6112692843,-26.4094460395,13
9.13E-09,11.5314839252,-26.8639767762,13
6.26E-07,11.2679193784,-27.0425008404,13
4.83E-07,11.2845146423,-27.1333844697,13
-4.74E-07,11.214847968,-27.2182829655,13
3.63E-07,11.0217394381,-27.7599367686,13
3.43E-07,10.9898700019,-27.03913368,13
1.87E-07,10.8949342533,-27.1346176722,13
4.69E-07,11.3347604305,-27.0465952155,13
3.44E-07,11.270498567,-27.1318217451,13
4.50E-07,11.0056890522,-27.1302873568,13
3.51E-07,11.1555324399,-26.8572765106,13
4.99E-07,11.6171542201,-26.6874068902,13
-1.47E-07,11.3847480942,-27.0463029905,13
6.39E-07,11.3667235142,-26.496678549,13
-2.52E-08,11.1732289113,-26.6761339483,13
4.33E-07,11.5265702543,-26.4976186754,13
1.89E-07,11.254623905,-26.4016667874,13
3.52E-07,11.2447645612,-26.8575974403,13
5.19E-07,11.5087055688,-26.777234202,13
-7.18E-08,11.6239425809,-26.9532035597,13
-5.07E-07,11.3942043541,-27.0382018497,13
-7.05E-07,10.6732391623,-27.1277735176,13
-2.11E-07,10.5004272369,-27.3004671901,13
-3.13E-08,9.6347728269,-25.1134774275,14
-6.92E-07,10.2021990245,-24.6709295032,14
2.75E-07,9.9387774047,-24.9379889214,14
-8.23E-07,10.0524656306,-25.4929610846,14
9.84E-07,9.7176028651,-24.7562292598,14
8.32E-07,9.6484231257,-24.5753377496,14
2.05E-07,9.9930265848,-24.2121965188,14
1.07E-06,9.6568363876,-24.3880900564,14
-3.42E-07,9.852817334,-24.3907177335,14
-9.44E-07,9.7420042621,-24.4808388177,14
3.85E-07,9.3636694226,-24.5703973395,14
5.18E-08,9.6701913067,-24.4800565661,14
3.25E-07,9.8458118475,-24.3031345074,14
-1.42E-06,9.8467928577,-24.2123744099,14
1.84E-07,10.0964858771,-24.5772144171,14
-5.61E-07,9.8217921192,-24.9386591978,14
1.11E-06,9.7952692441,-24.5768909567,14
-1.41E-06,10.0079296754,-24.5777301874,14
3.97E-07,9.8469199778,-24.1242562612,14
-1.52E-06,9.9410016293,-23.9432217235,14
1.16E-06,9.7647684833,-24.3970452753,14
6.17E-08,9.5753919815,-24.8433363411,14
7.50E-07,9.5068460573,-24.3959395711,14
-9.60E-07,9.669990415,-24.7642634116,14
4.65E-08,9.8177978152,-24.761875246,14
9.94E-07,9.5066888078,-24.5708585251,14
-6.41E-07,9.8701519943,-24.6658509238,14
5.69E-07,9.7650914014,-24.7614315255,14
7.16E-07,9.7505832334,-24.8476800614,14
-6.15E-07,9.6687950846,-24.2996144845,14
2.08E-07,9.81807396,-24.2116167378,14
-6.83E-07,9.5325885305,-24.2083893551,14
-1.46E-06,9.4196138735,-24.3861919145,14
-2.95E-08,9.4696337231,-24.2994370868,14
-3.61E-07,9.3702424399,-24.0253404624,14
1.03E-06,9.3004422314,-23.8401283648,14
-1.51E-07,9.5258553329,-24.0269672279,14
-4.56E-07,10.4482112423,-24.9472567396,14
-5.97E-07,10.345447533,-25.032754318,14
-2.65E-07,9.5071231199,-24.7504822746,14
2.86E-07,13.7082599558,-29.875841981,15
-4.13E-07,13.272572454,-29.4212214492,15
-1.35E-07,13.8865915568,-29.6097999087,15
