06:18:d6:c2:98:24(inonet),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),18:28:61:9e:ab:5c(MMD),04:18:d6:c1:98:24(inonet),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),4c:5e:0c:71:aa:15(RFKON2014-Mesh),18:28:61:1c:0b:69(EVOSOFT),dc:02:8e:c2:23:52(ILKSEM),e8:37:7a:6c:7f:55(PYR),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),c4:6e:1f:58:40:d2(DLink_D01),18:28:61:58:78:6a(Dlink_DAP-1360),4c:5e:0c:23:44:33(RFKON2014-Mesh),e4:8d:8c:20:4d:c1(UPLAT),00:26:5a:52:0b:8c(RFKON_115),18:28:61:13:0d:9d(EROGLU),REF_POINT
-69,NaN,-87,-74,-71,-50,-38,-68,-58,-57,-63,-71,-65,-77,-87,NaN,-72,-76,NaN,-89,2
-69,-80,-71,-74,-67,-50,-38,-67,-59,-56,-65,-71,-72,-77,-87,NaN,-72,-76,NaN,-89,2
-69,-79,-71,-74,-67,-51,-38,-68,-60,-53,-64,-72,-64,-77,-87,NaN,-72,-78,NaN,NaN,2
-69,-80,-71,-74,-68,-50,-38,-69,-61,-54,-66,-71,-64,-76,-88,NaN,-70,-78,NaN,NaN,2
-69,-80,-71,-74,-67,-50,-40,-68,-60,-55,-66,-71,-76,-76,-88,NaN,-70,NaN,NaN,NaN,2
-69,-80,-71,-74,-67,-78,-38,-69,-63,-55,-64,-71,-64,-77,-87,NaN,-74,-77,NaN,NaN,2
-69,-80,-71,-73,-70,-78,-38,-69,-64,-54,-65,-69,-63,-77,-87,NaN,-74,-76,NaN,NaN,2
-69,NaN,-71,-73,-71,-50,-39,-69,-62,-53,-64,-69,-64,-78,NaN,NaN,NaN,-76,NaN,-89,2
-69,-81,-71,-73,-66,-49,-39,-66,-60,-57,-66,-70,-63,-76,NaN,NaN,NaN,NaN,NaN,-89,2
-69,-81,-71,-72,-66,-49,-39,-66,-59,-56,-63,-69,-63,-75,NaN,NaN,NaN,-81,NaN,NaN,2
-69,-80,-71,-72,-67,-49,-39,-67,-62,-57,-65,-71,-63,-77,-88,NaN,-77,-81,NaN,NaN,2
-69,-80,-71,-71,-66,-50,-39,-67,-60,-57,-65,-70,-64,-77,-88,NaN,-77,NaN,NaN,NaN,2
-69,-78,NaN,-72,-66,-50,-38,-67,-58,-57,-63,-72,-76,-77,NaN,NaN,NaN,-77,NaN,NaN,2
-69,-80,NaN,-72,-66,-49,-38,-67,-61,-54,-63,-72,-64,-76,-86,NaN,NaN,-77,NaN,NaN,2
-69,-80,NaN,-71,-67,-50,-38,-66,-61,-54,-63,-70,-63,-76,-86,NaN,NaN,-78,NaN,NaN,2
-68,-81,NaN,-71,-68,-50,-38,-66,-60,-55,-66,-71,-64,-76,-88,NaN,NaN,-77,NaN,NaN,2
