X,Y,Z
-10.13183594,-1.269714355,-24.47071075
-9.954833984,-1.270095825,-24.47071075
-10.04333496,-1.270095825,-24.47052002
-10.22033691,-0.997535706,-24.19815063
-9.954833984,-0.634185791,-24.01676178
-10.22033691,-1.270095825,-24.56169128
-10.39733887,-0.906555176,-24.56188202
-10.30883789,-1.360694885,-24.2893219
-10.22033691,-1.179115295,-24.01676178
-10.13183594,-1.36088562,-24.47071075
-10.04333496,-1.452056885,-24.7428894
-10.22033691,-0.997535706,-24.37973022
-10.04333496,-1.360694885,-24.56169128
-9.954833984,-1.178733826,-24.65267181
-10.6628418,-1.26990509,-24.47071075
-10.13183594,-1.17930603,-24.28913116
-10.39733887,-0.906745911,-23.92578125
-10.39733887,-0.633995056,-24.28913116
-9.954833984,-0.815956116,-24.65248108
-10.13183594,-1.17930603,-25.01583099
-10.30883789,-1.088516235,-24.65267181
-9.423828125,-0.725166321,-24.2893219
-9.954833984,-0.997535706,-23.92578125
-10.30883789,-1.270095825,-23.65341187
-10.6628418,-1.26990509,-24.56169128
-10.39733887,-0.815765381,-24.74308014
-10.57434082,-0.815574646,-24.01657104
-9.954833984,-0.997535706,-23.92578125
-10.22033691,-0.270835876,-24.10755157
-12.60852814,1.817520142,-25.01583099
-13.31653595,2.180870056,-25.10643005
-13.84735107,1.817520142,-24.92485046
-14.112854,2.089889526,-25.10662079
-13.139534,1.544960022,-25.37937164
-14.02435303,1.635940552,-24.9250412
-13.31653595,1.726539612,-24.47071075
-13.40503693,1.817329407,-24.47071075
-13.93585205,1.544960022,-25.01564026
-13.40484619,1.363380432,-25.10643005
-13.40484619,1.817520142,-24.37992096
-13.84735107,2.362640381,-24.47090149
-13.58203888,2.180679321,-24.19834137
-13.7588501,2.362449646,-24.19834137
-13.49334717,2.453430176,-24.28913116
-13.22784424,2.544219971,-24.8342514
-13.05084229,1.999099731,-24.38030243
-13.58184814,1.726921082,-24.74346161
-13.7588501,1.635940552,-24.74327087
-14.64385986,1.999099731,-25.19760132
-14.02435303,1.726730347,-24.83406067
