04:18:d6:c1:98:24_inonet,e8:37:7a:6c:7f:55_PYR,18:28:61:1c:0b:69_EVOSOFT,18:28:61:9e:ab:5c_MMD,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:67:ab:cf_evarobot,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,00:26:5a:52:0b:8c_RFKON_115,REF_POINT
-55,-64,-53,-69,-12,-27,-50,-57,-57,NaN,-63,-79,-80,NaN,-68,-74,NaN,-73,NaN,2
-56,-80,-53,-69,-12,-37,-89,-56,-57,NaN,-63,-79,-80,NaN,-68,-74,NaN,-73,NaN,2
-56,-64,-50,-73,-18,-22,-50,-56,-58,-63,-62,-79,-70,NaN,-68,-74,NaN,-73,NaN,2
-58,-64,-53,-67,-11,-26,-50,-58,-60,-63,-63,-78,-70,NaN,-68,NaN,NaN,-74,NaN,2
-58,-63,-51,-71,-12,-37,-50,-59,-59,-63,-63,-78,-70,-83,-70,-75,-84,-75,NaN,2
-55,-65,-50,-71,-12,-27,-48,-61,-60,-63,-63,-77,-79,-83,-68,-75,-84,-75,NaN,2
-57,-65,-53,-72,-12,-27,-51,-57,-57,-76,-63,-78,-72,-83,-69,-75,-84,-68,NaN,2
-58,-65,-50,-72,-12,-27,-51,-57,-61,-75,-63,-78,-73,-83,-69,-75,-84,-68,NaN,2
-56,-64,-51,-68,-12,-37,-52,-57,-60,-63,-64,-70,-70,NaN,-68,NaN,-85,-72,NaN,2
-57,-70,-50,-68,-12,-27,-53,-56,-56,-62,-64,-78,-73,NaN,-68,-74,-85,-77,-85,2
-57,-65,-52,-69,-12,-37,-53,-56,-56,-63,-62,-71,-69,-84,-68,-74,-85,-77,-85,2
-56,-65,-50,-66,-12,-27,-54,-54,-56,-63,-62,-71,-69,-84,-73,-74,-85,-77,-85,2
-53,-59,-44,-66,-26,-23,-50,-56,-65,-63,-62,-76,-67,-84,-73,-74,-85,-77,-85,3
-53,-56,-51,NaN,-26,-23,-50,-56,-65,-63,-62,-76,-67,NaN,-73,NaN,NaN,NaN,NaN,3
-55,-51,-54,NaN,-25,-18,-47,-56,-65,-63,-64,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,3
-55,-56,-50,-73,-25,-25,-50,-56,-62,-73,-60,NaN,-77,NaN,-66,NaN,NaN,NaN,NaN,3
-56,-57,-54,-78,-35,-19,-45,-60,-63,-73,-59,NaN,-67,NaN,-64,NaN,NaN,NaN,NaN,3
-58,-53,-52,-77,-34,-19,-44,-61,-63,-73,-62,NaN,-67,NaN,-64,NaN,NaN,NaN,NaN,3
-59,-57,-52,-77,-38,-34,-46,-61,-63,NaN,-62,-72,-67,NaN,-65,NaN,-81,NaN,NaN,3
-59,-57,-53,-77,-34,-18,-46,-62,-63,NaN,-57,-74,NaN,NaN,-65,NaN,-81,NaN,NaN,3
-58,-56,-55,-77,-34,-18,-45,-60,-61,NaN,-58,-74,NaN,NaN,-66,NaN,-81,NaN,NaN,3
-58,-51,-52,NaN,-34,-16,-45,-60,-61,NaN,-58,-74,NaN,NaN,-65,NaN,-81,NaN,NaN,3
-58,-52,-56,NaN,-34,-24,-45,-60,-63,-66,-59,-74,NaN,NaN,-72,-74,NaN,NaN,NaN,3
