4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,04:18:d6:c1:98:24_inonet,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,18:28:61:9e:ab:5c_MMD,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:23:44:33_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,18:28:61:58:78:6a_Dlink_DAP-1360,18:28:61:13:0d:9d_EROGLU,4c:5e:0c:67:ab:cf_evarobot,18:28:61:1c:0b:69_EVOSOFT,00:66:4b:1f:08:23_TeknoTAM,1c:87:2c:7e:23:9c_EROGLU-PRI,1c:87:2c:7e:23:9d_EROGLU-PUB,4e:0b:3a:ce:61:92_coskun,e4:8d:8c:95:5c:60_evarobot,4c:5e:0c:69:1c:51_evarobot,4c:5e:0c:69:1c:4b_evarobot,4c:5e:0c:70:53:6e_evarobot,4c:5e:0c:6f:20:2e_evarobot,REF_POINT
-37,-35,-51,-64,-61,-55,-58,-71,-63,-60,-81,-75,-76,-75,NaN,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-50,-60,-62,-59,-58,-71,-63,-59,-81,-75,NaN,-74,NaN,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-36,-35,-51,-62,-62,-55,-58,-71,-62,-59,-80,-77,NaN,-74,NaN,-66,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-38,-35,-51,-60,-62,-58,-57,-71,-62,-62,-80,-77,NaN,-74,NaN,-66,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-49,-17,-63,-63,-60,-58,-59,NaN,-61,-68,-79,-72,NaN,-69,NaN,-67,-77,NaN,-71,-54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-38,-10,-58,-63,-56,-59,-59,NaN,-59,-69,NaN,-78,NaN,-77,NaN,-67,NaN,NaN,-71,-56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-36,-11,-55,-66,-55,-57,-60,-70,-58,-70,NaN,-78,NaN,-74,NaN,-71,NaN,NaN,-71,-54,-93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-39,-11,-60,-66,-56,-60,-60,-70,-65,-73,NaN,-71,NaN,-74,NaN,-71,NaN,NaN,-71,-53,-93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-38,-11,-60,-65,-59,-61,-60,-72,-62,-73,NaN,-71,-85,-74,NaN,-71,NaN,NaN,-72,-57,-93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-39,-11,-61,-62,-60,-58,-60,-72,-62,-73,NaN,-69,-85,-74,NaN,-65,NaN,NaN,-74,-54,-87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-41,-12,-57,-63,-56,-59,-61,-74,-61,-68,NaN,-69,-85,-74,NaN,-65,NaN,NaN,-70,-54,-91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-42,-11,-59,-63,-58,-59,-61,-75,-61,-68,NaN,-69,-85,NaN,NaN,-65,NaN,NaN,-70,-58,-91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
