04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,00:26:5a:52:0b:8c_RFKON_115,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,REF_POINT
-54,-40,-31,-60,-57,-65,-53,-51,-67,-65,-68,NaN,-73,-61,-72,NaN,NaN,NaN,NaN,2
-52,-39,-31,-61,-57,-63,-53,-52,NaN,-67,-67,NaN,-72,NaN,-72,NaN,-84,NaN,-73,2
-52,-33,-30,-51,-48,-55,-53,-59,-80,-64,NaN,-57,NaN,-63,-73,-89,NaN,NaN,-78,2
-52,-35,-30,-57,-53,-56,-52,-57,-75,-65,-68,-58,-79,-63,-75,NaN,NaN,NaN,-73,2
-53,-36,-30,-55,-52,-58,-50,-56,-75,-67,-65,-60,-77,-63,NaN,NaN,-84,NaN,-73,2
-52,-36,-30,-55,-54,-59,-52,-55,-79,-66,NaN,NaN,NaN,-61,-75,NaN,NaN,NaN,-72,2
-57,-36,-30,-55,-54,-59,-49,-56,-78,-56,-65,-59,-77,NaN,-75,NaN,-83,NaN,NaN,2
-51,-36,-30,-55,-54,-57,-50,-56,-77,-66,-65,-58,NaN,-62,NaN,NaN,NaN,NaN,NaN,2
-51,-83,-30,-60,-54,-58,-51,-56,-75,-67,NaN,-58,-75,-62,NaN,-86,NaN,NaN,-70,2
-59,-36,-30,-53,-54,-58,-51,-56,-75,-67,-67,-58,-74,-63,-76,NaN,-84,NaN,-70,2
-54,-36,-30,-58,-54,-59,NaN,-55,-75,-67,NaN,-63,NaN,-61,NaN,NaN,NaN,NaN,NaN,2
-52,-37,-30,-55,-54,-60,-50,-54,-76,-67,-64,-59,-75,-62,NaN,NaN,-83,NaN,NaN,2
-51,-37,-29,-54,-54,-59,-50,-58,-74,-68,-65,NaN,-75,-61,-70,NaN,NaN,NaN,NaN,2
-57,-36,-30,-54,-54,-58,-50,-59,-75,-67,-65,NaN,NaN,-61,-75,NaN,-84,NaN,-74,2
-52,-36,-30,-55,-55,-58,-49,NaN,-75,-67,-64,NaN,-77,-62,-74,-78,-86,NaN,-72,2
-51,-84,-34,-55,-51,-59,-50,-55,-79,-67,-64,-60,NaN,-61,-73,NaN,NaN,NaN,NaN,2
-52,-36,-30,-55,-53,-59,-51,-55,-75,-67,-65,-60,NaN,NaN,-75,NaN,NaN,NaN,NaN,2
-53,-36,-30,-54,-57,-59,-50,-54,-73,-67,-65,-59,NaN,-61,-75,NaN,NaN,-83,NaN,2
-51,-36,-30,-54,-54,-62,-51,NaN,-77,-62,-67,NaN,-77,-63,-76,NaN,NaN,NaN,NaN,2
-52,-36,-29,-54,-52,-58,-51,-55,-80,-67,-66,-58,-79,NaN,NaN,NaN,-83,-83,NaN,2
-55,-36,-29,-54,-54,-58,-50,-54,NaN,-67,-66,-57,-78,-63,-75,NaN,-82,NaN,NaN,2
-52,-36,-30,-55,-55,-58,-49,-54,-72,-66,-66,-58,-73,-61,-77,NaN,-83,NaN,-71,2
-51,NaN,-30,-55,-57,-54,-52,-56,NaN,-66,-66,-59,NaN,-63,NaN,NaN,-84,NaN,NaN,2
-57,-36,-30,-54,-55,-58,-51,-53,-81,-67,NaN,NaN,NaN,-62,NaN,NaN,-83,NaN,-74,2
-51,-36,-30,-54,-55,-59,-51,-55,-74,-67,-66,-59,-74,-62,-76,-83,NaN,NaN,-73,2
