04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,06:18:d6:c2:98:24_inonet,18:28:61:9e:ab:5c_MMD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:69:1c:51_evarobot,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:67:ab:cf_evarobot,e8:50:8b:6e:ec:95_Aksins,4c:5e:0c:69:1c:4b_evarobot,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:70:53:6e_evarobot,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:6f:20:2e_evarobot,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,00:66:4b:1f:08:23_TeknoTAM,18:28:61:58:78:6a_Dlink_DAP-1360,64:66:b3:d0:4a:8d_Cisco_KRD,00:26:5a:52:0b:8c_RFKON_115,18:28:61:13:0d:9d_EROGLU,1c:87:2c:7e:23:9d_EROGLU-PUB,1c:87:2c:7e:23:9c_EROGLU-PRI,66:9a:be:03:d1:e8_iPhone,08:62:66:03:0f:1a_My ASUS,REF_POINT
-56,-29,-38,-38,-51,-55,-60,-52,-60,-65,-66,NaN,-73,-72,-77,NaN,NaN,-65,-70,-74,-74,-70,-86,NaN,-78,NaN,-82,NaN,NaN,NaN,NaN,1
-58,-29,-38,-38,-51,-62,-60,-53,-60,-65,-66,NaN,NaN,NaN,-77,NaN,-74,-65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-29,-39,-38,-52,-61,-62,-52,-60,-64,-66,NaN,-73,-71,-77,NaN,-75,NaN,-71,-74,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-38,-47,-42,-45,-54,-50,-50,-66,-64,-65,-76,-72,-74,NaN,-85,-75,-67,-72,-74,-75,-74,-87,NaN,NaN,NaN,NaN,-87,-88,NaN,NaN,2
-54,-42,-44,-37,-48,-54,-49,-51,-68,-64,-62,NaN,-72,-75,-77,NaN,NaN,-72,-71,NaN,-75,-72,NaN,NaN,NaN,NaN,NaN,-87,NaN,NaN,NaN,2
-54,-49,-45,-39,-48,-53,NaN,-50,-67,-65,-68,-74,NaN,-75,-75,NaN,NaN,-68,NaN,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-53,-42,-43,-40,-46,-53,-50,-52,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-55,-41,-43,-38,-45,-51,-50,-49,-67,-66,NaN,NaN,NaN,NaN,NaN,NaN,-72,-68,NaN,NaN,-72,-72,NaN,-89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-55,-41,-43,-41,-45,-50,-50,-49,-67,NaN,-69,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-58,-42,-43,-40,-46,-51,-51,-51,-66,-66,-68,-65,-71,-70,NaN,NaN,-71,-68,NaN,NaN,-73,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-57,-42,-43,-40,-45,-52,-51,-52,-66,-66,-73,NaN,NaN,-72,-77,NaN,NaN,-67,-82,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-59,-42,-43,-41,-44,-53,-50,-52,-67,NaN,NaN,NaN,NaN,-83,NaN,NaN,-73,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-57,-43,-43,-41,-45,-51,-50,-51,-66,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-53,-42,-42,-41,-46,-53,-51,-52,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-71,-68,NaN,-74,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-52,-42,-45,-40,-46,-53,-51,-50,-53,-66,-70,-69,NaN,-74,NaN,NaN,NaN,-67,NaN,NaN,-73,-72,NaN,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,2
-56,-41,-42,-40,-45,-51,-51,-52,-67,-67,-74,NaN,-71,-80,NaN,NaN,-73,-68,NaN,-74,-75,-72,-85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
