06:18:d6:c2:98:24_inonet,04:18:d6:c1:98:24_inonet,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,4c:5e:0c:70:52:5a_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:71:aa:15_RFKON2014-Mesh,c4:6e:1f:58:40:d2_DLink_D01,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e4:8d:8c:20:4d:c1_UPLAT,18:28:61:13:0d:9d_EROGLU,00:26:5a:52:0b:8c_RFKON_115,18:28:61:58:78:6a_Dlink_DAP-1360,REF_POINT
-73,-59,-53,-64,-89,-33,-65,-69,-45,-70,-71,-74,-80,-73,-60,NaN,NaN,NaN,NaN,2
-72,-68,-53,-64,-75,-33,-64,-69,-45,-71,-72,-74,-79,-75,-59,-81,NaN,NaN,NaN,2
-72,-61,-53,-63,-74,-32,-62,-72,-36,-72,-70,-79,-73,-67,-59,-83,NaN,-87,NaN,3
-72,-60,-47,-60,-74,-32,-59,-72,-37,-74,-70,-79,-73,-69,-61,-83,NaN,-87,NaN,3
-71,-60,-46,-60,-81,-32,-57,-69,-38,-73,-68,-77,-75,-69,-64,NaN,NaN,NaN,-77,3
-73,-63,-47,-60,-82,-31,-57,-68,-38,-72,-68,-77,-73,-67,-65,-81,NaN,NaN,-77,3
-71,-64,-49,-60,-78,-31,-60,-74,-45,-72,-68,-77,-73,-67,-65,-81,NaN,NaN,NaN,3
-71,-62,-48,-64,-80,-31,-59,-67,-36,-73,-69,NaN,-73,NaN,-66,-80,NaN,NaN,NaN,3
-70,-69,-49,-60,-80,-32,-58,-66,-39,-72,-69,-76,-73,-68,-64,-79,NaN,NaN,NaN,3
-70,-61,-49,-62,-80,-32,-59,-66,-39,-73,-68,-76,-74,-68,-65,-80,NaN,NaN,NaN,3
-71,-60,-50,-63,-80,-33,-61,-66,-37,-73,-67,-76,-73,-68,-62,-80,NaN,NaN,NaN,3
-68,-61,-49,-61,NaN,-32,-58,-66,-38,-73,-68,-77,-73,-68,-64,-61,NaN,NaN,NaN,3
-72,-64,-48,-60,-83,-32,-58,-67,-45,-71,-67,-77,-73,-69,-64,-61,-88,NaN,NaN,3
-72,-60,-49,-65,-82,-32,-59,-67,-38,-73,-68,-77,-67,-67,-65,-78,-88,-86,NaN,3
-71,-62,-48,-60,-81,-32,-59,-67,-38,-73,-68,-77,-67,-69,-65,-78,NaN,-86,NaN,3
-69,-60,-48,-60,-82,-32,-59,-66,-38,-74,-67,-77,-74,-68,-66,NaN,NaN,NaN,-84,3
-72,-63,-49,-60,-79,-32,-59,-67,-38,-73,-68,-74,-74,-66,-65,NaN,-88,NaN,-84,3
-71,-62,-50,-61,-81,-32,-59,-68,-38,-72,-68,-76,-74,-66,-64,-79,-88,NaN,NaN,3
-71,-64,-50,-60,-87,-32,-58,-69,-38,-72,-69,-76,NaN,NaN,-64,-79,NaN,NaN,NaN,3
-72,-60,-49,-60,-79,-32,-58,-66,-38,-74,-68,NaN,-74,-66,-64,-79,NaN,NaN,NaN,3
-72,-60,-50,-59,-79,-32,-59,-68,-44,-74,-69,NaN,-74,-66,-64,NaN,NaN,NaN,NaN,3
-73,-60,-49,-60,-79,-31,-59,-68,-38,-73,-69,NaN,-74,-68,-64,-80,NaN,NaN,NaN,3
-72,-63,-49,-61,-81,-32,-60,-68,-38,-74,-68,NaN,-68,-68,-64,-80,NaN,-86,NaN,3
-72,-61,-49,-61,-81,-31,-59,-68,-38,-73,-68,NaN,-68,-68,-63,NaN,NaN,-86,NaN,3
-72,-63,-49,-60,NaN,-32,-59,-68,-38,-73,-68,-75,NaN,-68,-65,NaN,NaN,NaN,NaN,3
-70,-59,-50,-62,-85,-31,-59,-68,-38,-73,-68,-76,-75,-68,-65,-79,NaN,NaN,NaN,3
-73,-61,-48,-63,-82,-31,-57,-69,-38,-73,-68,-76,-75,-68,-65,-79,NaN,NaN,NaN,3
-71,-59,-50,-63,-78,-32,-60,-69,-88,-73,-68,NaN,-74,-68,-64,-80,NaN,-88,-82,3
