4c:5e:0c:6f:20:b2_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,e4:8d:8c:20:4d:c1_UPLAT,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,04:18:d6:c1:98:24_inonet,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,64:66:b3:d0:4a:8d_DLink_D01,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,c4:6e:1f:58:40:d2_DLink_D01,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,18:28:61:9e:ab:5c_MMD,18:28:61:58:78:6a_Dlink_DAP-1360,18:28:61:13:0d:9d_EROGLU,REF_POINT
-67,-48,-64,-82,-72,-72,-61,-56,-46,-61,-66,-80,-74,-85,-79,-77,-79,NaN,NaN,NaN,NaN,2
-64,-47,-71,-78,-75,-71,-60,-55,-45,-60,-63,-81,-78,-85,-81,-78,NaN,NaN,NaN,NaN,NaN,2
-60,-47,-71,-78,-73,-71,-59,-55,-45,-63,-62,-80,-75,NaN,-82,-77,NaN,NaN,NaN,NaN,NaN,2
-59,-47,NaN,NaN,-73,-72,-60,-56,-45,-63,-67,-80,-75,NaN,-80,-77,NaN,NaN,NaN,NaN,NaN,2
-58,-47,NaN,NaN,-73,-72,-60,-56,-46,NaN,-67,-80,-75,NaN,-78,-77,NaN,-88,NaN,NaN,NaN,2
-58,-44,-63,NaN,-73,-72,-60,-56,-44,-63,-60,-80,-79,-84,-82,NaN,NaN,-88,NaN,NaN,NaN,2
-71,-47,-63,NaN,-72,-72,-60,-55,-43,-63,-60,-79,-75,-84,-82,-78,NaN,-92,NaN,NaN,NaN,2
-58,-47,-62,NaN,-85,-73,-60,-55,-44,-62,-63,-81,-74,NaN,-83,-78,-82,-92,NaN,NaN,NaN,2
-61,-46,-62,NaN,-73,-72,-59,-55,-42,-63,-63,-77,-74,-83,-83,-78,-82,NaN,NaN,NaN,NaN,2
-63,-46,-74,NaN,-73,-72,-60,-56,-43,-63,-63,-81,-74,-86,-83,-79,-85,NaN,-90,NaN,NaN,2
-58,-46,-78,NaN,-74,-72,-60,-56,-46,-62,-63,-80,-73,-85,-85,-79,-85,NaN,-90,NaN,NaN,2
-57,-46,-63,-79,-74,-72,-60,-56,-45,-62,-63,-81,-75,-85,-79,-81,NaN,NaN,NaN,NaN,NaN,2
-57,-46,-63,-79,-73,-72,NaN,-56,-43,NaN,-63,-80,-75,-86,-84,-76,NaN,NaN,NaN,NaN,NaN,2
-59,-46,-59,-83,-73,-72,-59,-56,-44,-62,-61,-81,-75,-84,-83,-76,NaN,NaN,-81,NaN,NaN,2
-60,-46,-76,-83,-73,-72,-59,-56,-45,-60,-63,-79,-78,-84,-83,-82,NaN,-91,-81,NaN,NaN,2
-60,-46,-76,NaN,-73,-72,-63,-56,-44,-62,-63,-78,-76,-82,-83,-77,NaN,-91,NaN,NaN,NaN,2
-61,-47,NaN,-82,-72,-72,-62,-55,-42,-60,-60,-78,-77,-82,-82,-77,-79,NaN,NaN,NaN,NaN,2
-56,-46,-62,-82,-72,-73,-59,-56,-45,-61,-63,-81,-75,-83,-82,-77,-77,NaN,NaN,NaN,NaN,2
-57,-46,-62,NaN,-72,-73,-59,-55,-46,-61,-63,-81,-78,-83,-82,-77,-78,NaN,NaN,NaN,NaN,2
-59,-47,-63,NaN,-73,-72,-58,-54,-46,-61,-64,-80,-77,NaN,-81,-77,-78,-91,NaN,NaN,NaN,2
-55,-46,-63,NaN,-73,-72,-60,-56,-44,-62,-63,-81,-77,-86,-81,-76,NaN,-91,NaN,NaN,NaN,2
-56,-47,NaN,-80,NaN,-71,-60,-55,-45,-62,-64,-81,NaN,-84,-81,-76,-79,NaN,NaN,NaN,NaN,2
-56,-46,NaN,-80,-73,-71,-60,-55,-45,-61,-63,-77,NaN,-84,-81,NaN,-78,NaN,NaN,NaN,NaN,2
-55,-45,-71,-77,-75,-72,-59,-55,-45,-60,-67,-81,-75,-86,NaN,-78,-78,NaN,NaN,NaN,NaN,2
-56,-47,-71,-78,-80,-72,-60,-56,-45,-62,-61,-81,-78,-85,-81,-80,NaN,-92,NaN,NaN,NaN,2
-56,-47,-63,-80,-80,-72,-61,-56,-46,-61,-60,-81,-77,-82,-81,-78,NaN,-92,-82,NaN,NaN,2
-58,-48,-63,-80,-86,-72,-60,-55,-45,-61,-63,-82,-77,-82,NaN,-79,NaN,NaN,-82,NaN,NaN,2
-60,-48,-63,-78,-84,-72,-59,-55,-45,-61,-60,-80,-78,NaN,-82,-79,-78,NaN,NaN,NaN,NaN,2
-56,-45,-62,-82,-75,-72,-59,-55,-45,-61,-63,-82,-78,NaN,-82,-79,-79,NaN,NaN,NaN,NaN,2
-58,-47,-61,-82,-73,-72,-62,-56,-45,-61,-60,-80,-76,-85,-82,-79,-83,-90,-77,NaN,NaN,2
-55,-48,-62,NaN,-73,-72,-60,-56,-45,-60,-63,-81,-74,-85,-88,-79,-79,-90,-77,-87,NaN,2
-56,-46,-62,-81,-73,-71,-62,-55,-45,-61,-63,-81,-76,-83,-81,-79,-83,-91,NaN,-87,NaN,2
-57,-46,-76,-81,-74,-71,-64,-56,-46,-63,-61,-82,-77,-83,-76,NaN,-83,-91,NaN,NaN,NaN,2
-56,-47,-63,-81,-75,-72,-62,-55,-47,-63,-61,-81,-77,-83,-83,NaN,NaN,NaN,-78,NaN,NaN,2
-59,-46,-73,NaN,-75,-73,-59,-55,-48,-65,-64,-75,NaN,-83,-82,NaN,-80,NaN,-78,NaN,NaN,2
-59,-47,-63,NaN,-84,-72,-60,-55,-51,-62,-63,-79,NaN,NaN,-83,-77,-80,NaN,NaN,NaN,NaN,2
-59,-46,-63,NaN,-84,-71,-61,-55,-48,-61,-63,-79,-78,NaN,-83,-77,NaN,NaN,NaN,NaN,NaN,2
-59,-47,-74,-81,NaN,-72,-59,-55,-46,-61,-60,-78,-78,NaN,-81,NaN,-80,NaN,NaN,NaN,NaN,2
-56,-46,-63,-80,NaN,-72,-60,-55,-46,-63,-62,-78,-74,-83,-79,NaN,-80,-91,-81,NaN,NaN,2
-61,-46,-62,-81,NaN,-71,-63,-54,-44,-63,-63,NaN,-77,-81,-80,-82,NaN,-91,-81,-89,NaN,2
-58,-47,-81,-81,-74,-72,-63,-56,-46,-61,-65,-79,-76,-88,-80,-79,NaN,NaN,NaN,-89,NaN,2
-58,-44,-81,-84,-74,-70,NaN,-57,-43,-62,-65,-75,-73,-83,-80,-79,NaN,NaN,NaN,NaN,NaN,2
-56,-49,NaN,-84,-74,-72,-63,-55,-43,-62,-58,-78,-74,-87,-80,-80,NaN,NaN,-87,NaN,NaN,2
-58,-46,NaN,-74,-72,-72,-63,-55,-42,-63,-58,-79,-74,-87,-81,-80,NaN,NaN,-79,NaN,NaN,2
-58,-47,-72,-81,-73,-72,-64,-56,-46,-63,NaN,-79,-74,-87,-81,NaN,NaN,NaN,-79,NaN,NaN,2
-60,-46,-63,-80,-73,-71,-60,-55,-44,-61,-59,-79,-77,-87,-80,NaN,NaN,NaN,NaN,NaN,NaN,2
-56,-46,-74,-80,-74,-72,-59,-55,-44,-60,-61,-79,-77,NaN,-80,NaN,NaN,-92,NaN,NaN,NaN,2
-56,-46,-74,-81,-74,-73,-61,-55,-45,-62,-59,-79,-76,-84,-81,-81,NaN,-92,NaN,-88,NaN,2
-56,-46,-63,-81,-75,-73,-61,-54,-43,-63,-59,-79,-77,-84,-81,-82,-79,-89,NaN,-88,NaN,2
-57,-47,-63,-81,-74,-73,-61,-55,-44,-70,-58,-79,-75,NaN,-80,-82,-78,-89,NaN,NaN,NaN,2
-56,-46,-71,-81,-74,-73,-61,-55,-45,-63,-58,-77,-76,NaN,-80,NaN,-78,NaN,NaN,NaN,NaN,2
-57,-47,-63,-81,NaN,-73,-60,-55,-45,-63,-58,-77,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-56,-47,-61,NaN,NaN,-73,-61,-56,-45,-63,-62,NaN,-79,-85,NaN,-79,NaN,NaN,NaN,NaN,NaN,2
-56,-47,-62,NaN,-74,-73,-63,-55,-46,-61,-58,-80,-79,-84,-83,-80,NaN,NaN,NaN,NaN,NaN,2
-58,-47,-73,-77,-83,-72,-61,-54,-44,-63,-58,-79,-74,-86,-80,-78,NaN,NaN,NaN,NaN,NaN,2
-58,-45,-63,-77,-83,-72,-61,-55,-45,-63,-62,-78,-74,-86,-82,-78,-77,-90,NaN,NaN,NaN,2
-58,-47,-63,NaN,-75,-72,-62,-54,-44,-63,-62,-79,-74,NaN,-81,-78,-77,-90,NaN,NaN,NaN,2
-55,-45,-61,-76,-78,-70,-63,-60,-31,-61,-51,-78,-72,-78,-76,-75,-80,NaN,-83,NaN,NaN,3
-55,-44,-59,-76,-78,-72,-69,-58,-32,-58,-55,-76,NaN,-78,-83,-75,NaN,NaN,-70,NaN,NaN,3
